gameid,roll1,old_hold1,new_hold1,roll2,old_hold2,new_hold2,roll3,old_hold3,new_hold3,roll4,old_hold4,new_hold4,roll5,old_hold5,new_hold5,score
13,5,True,True,1,False,False,5,True,True,5,True,True,1,False,False,0.0
13,5,False,True,6,False,False,1,False,False,1,False,False,5,False,False,
13,5,True,True,6,False,True,3,False,True,5,False,False,5,False,False,
13,5,True,True,6,True,True,3,True,True,3,False,False,5,False,False,0.0
14,2,False,False,6,False,True,3,False,False,5,False,False,6,False,True,
14,6,False,True,6,True,True,4,False,False,3,False,False,6,True,True,
14,6,True,True,6,True,True,3,False,False,3,False,False,6,True,True,18.0
14,1,False,True,1,False,True,3,False,False,6,False,False,2,False,False,
14,1,True,True,1,True,True,2,False,False,3,False,False,4,False,False,
14,1,True,True,1,True,True,3,False,False,6,False,False,4,False,False,2.0
14,2,False,True,1,False,False,2,False,True,3,False,False,2,False,True,
14,2,True,True,6,False,False,2,True,True,5,False,False,2,True,True,
14,2,True,True,2,False,False,2,True,True,2,False,False,2,True,True,50.0
14,3,False,False,6,False,True,1,False,False,1,False,False,4,False,True,
14,6,False,True,6,True,True,4,False,False,6,False,True,4,True,False,
14,6,True,True,6,True,True,5,False,False,6,True,True,3,False,False,26.0
14,5,False,True,2,False,False,2,False,False,5,False,True,1,False,False,
14,5,True,True,2,False,False,3,False,False,5,True,True,1,False,False,
14,5,True,True,3,False,False,1,False,False,5,True,True,6,False,False,20.0
14,3,False,True,3,False,True,4,False,False,3,False,True,5,False,False,
14,3,True,True,3,True,True,5,False,False,3,True,True,5,False,False,25.0
14,6,False,False,2,False,True,6,False,False,2,False,True,6,False,False,
14,4,False,False,2,True,True,2,False,True,2,True,True,5,False,False,
14,2,False,False,2,True,True,2,True,True,2,True,True,4,False,False,8.0
14,5,False,True,1,False,False,6,False,False,1,False,False,4,False,False,
14,5,True,True,3,False,False,4,False,False,5,False,True,3,False,False,
14,5,True,True,3,False,False,4,False,False,5,True,True,4,False,False,0.0
14,2,False,False,5,False,True,6,False,False,1,False,False,4,False,False,
14,3,False,False,5,True,True,2,False,False,5,False,True,5,False,True,
14,1,False,False,5,True,True,5,False,False,5,True,True,5,True,True,20.0
14,1,False,False,5,False,False,1,False,False,5,False,False,3,False,True,
14,3,False,True,2,False,False,6,False,False,5,False,False,3,True,True,
14,3,True,True,1,False,False,1,False,False,4,False,False,3,True,True,6.0
14,1,False,False,1,False,False,5,False,False,1,False,False,3,False,True,
14,2,False,False,4,False,True,3,False,False,2,False,True,3,True,True,
14,5,False,False,4,True,True,5,False,False,2,True,True,3,True,True,30.0
14,5,False,True,2,False,True,3,False,True,6,False,True,1,False,False,
14,5,True,True,2,True,True,3,True,True,6,True,True,2,False,False,
14,5,True,True,2,True,True,3,True,True,6,True,True,1,False,False,0.0
14,2,False,False,2,False,False,1,False,False,4,False,True,4,False,True,
14,4,False,True,3,False,False,3,False,False,4,True,True,4,True,True,
14,4,True,True,4,False,False,2,False,False,4,True,True,4,True,True,16.0
15,4,False,True,3,False,False,4,False,True,3,False,False,2,False,False,
15,4,True,True,3,False,False,4,True,True,3,False,False,1,False,False,
15,4,True,True,4,False,False,4,True,True,2,False,False,1,False,False,12.0
15,6,False,True,1,False,False,3,False,False,2,False,False,5,False,False,
15,6,True,True,6,False,True,3,False,False,5,False,False,5,False,False,
